,,,,,,,,,,,
编码,品名,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,单位,单重,单重单位,备注
SBN00278,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M30,个,,Kg,
SBN00279,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M33,个,,Kg,
SBN00280,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M36,个,,Kg,
SBN00281,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00282,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00283,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M60,个,,Kg,
SBN00284,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M64,个,,Kg,
SBN00285,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00286,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00287,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00288,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00289,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00290,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00291,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M8,个,,Kg,
SBN00292,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M10,个,,Kg,
SBN00293,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M12,个,,Kg,
SBN00294,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M14,个,,Kg,
SBN00295,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M24,个,,Kg,
SBN00296,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M27,个,,Kg,
SBN00312,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M5,个,,Kg,
SBN00313,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M6,个,,Kg,
SBN00314,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M8,个,,Kg,
SBN00315,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M10,个,,Kg,
SBN00316,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M12,个,,Kg,
SBN00317,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M14,个,,Kg,
SBN00318,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M16,个,,Kg,
SBN00319,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M20,个,,Kg,
SBN00320,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M24,个,,Kg,
SBN00321,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M30,个,,Kg,
SBN00322,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M36,个,,Kg,
SBN00323,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M42,个,,Kg,
SBN00324,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M52,个,,Kg,
SBN00325,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M64,个,,Kg,
SBN00326,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M12,个,,Kg,
SBN00327,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M30,个,,Kg,
SBN00328,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M36,个,,Kg,
SBN00329,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M42,个,,Kg,
SBN00330,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M52,个,,Kg,
SBN00331,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M60,个,,Kg,
SBN00332,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M64,个,,Kg,
SBN00333,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M14,个,,Kg,
SBN00334,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M18,个,,Kg,
SBN00335,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M20,个,,Kg,
SBN00336,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M22,个,,Kg,
SBN00337,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00338,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M27,个,,Kg,
SBN00339,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M30,个,,Kg,
SBN00340,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M33,个,,Kg,
SBN00341,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M36,个,,Kg,
SBN00342,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00343,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00344,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M60,个,,Kg,
SBN00345,1型六角螺母,A2-50,CP05T3040,GB/T 6170-2015,S1,QA3,M64,个,,Kg,
SBN00346,1型六角螺母,8级(镀锌钝化),,GB/T 6170-2015,NA,QNCa,M27,个,,Kg,
SBN00347,1型六角螺母,8级(镀锌钝化),,GB/T 6170-2015,NA,QNCa,M30,个,,Kg,
SBN00348,锁紧螺母,65Mn,CP05T3040,,S1,QA3,M33,个,,Kg,
SBN00349,锁紧螺母,65Mn,CP05T3040,,S1,QA3,M39,个,,Kg,
SBN00350,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M6,个,,Kg,
SBN00351,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M8,个,,Kg,
SBN00352,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00353,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00354,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M14,个,,Kg,
SBN00355,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00356,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M18,个,,Kg,
SBN00357,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M20,个,,Kg,
SBN00358,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M22,个,,Kg,
SBN00359,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00360,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M27,个,,Kg,
